,count,mean,std,min,25%,50%,75%,max
Destination Port,2273097.0,9419.545171631478,19755.133412851792,0.0,53.0,80.0,443.0,65535.0
Flow Duration,2273097.0,11220820.773566196,30123155.364822004,-13.0,174.0,30996.0,452186.0,119999998.0
Total Fwd Packets,2273097.0,10.654173139113729,836.5356227911906,1.0,2.0,2.0,4.0,219759.0
Total Backward Packets,2273097.0,12.13863640662937,1112.9892235356626,0.0,1.0,2.0,2.0,291922.0
Total Length of Fwd Packets,2273097.0,635.536885579454,10634.088851656987,0.0,12.0,66.0,160.0,12900000.0
Total Length of Bwd Packets,2273097.0,18848.707119405815,2525410.243297377,0.0,4.0,130.0,332.0,655453030.0
Fwd Packet Length Max,2273097.0,230.3861621391432,791.3701494712955,0.0,6.0,40.0,65.0,24820.0
Fwd Packet Length Min,2273097.0,22.793373973921923,63.369685080258414,0.0,0.0,6.0,40.0,2325.0
Fwd Packet Length Mean,2273097.0,66.39606423585393,204.2561815082441,0.0,6.0,37.0,51.0,4672.0
Fwd Packet Length Std,2273097.0,74.55630733044217,311.2756258895721,0.0,0.0,0.0,21.92031022,7125.5968458437
Bwd Packet Length Max,2273097.0,396.5347871208312,812.681707875446,0.0,2.0,83.0,179.0,19530.0
Bwd Packet Length Min,2273097.0,50.662469309492735,73.38253801093424,0.0,0.0,6.0,94.0,2896.0
Bwd Packet Length Mean,2273097.0,160.7966812156849,283.5782352143738,0.0,2.0,77.0,153.0,3787.339614
Bwd Packet Length Std,2273097.0,123.12595162759918,275.27041348472943,0.0,0.0,0.0,0.0,4113.240146
Flow Bytes/s,2272688.0,inf,,-261000000.0,128.1776438263,5158.72695,262295.082,inf
Flow Packets/s,2273097.0,inf,,-2000000.0,14.61354481,122.8199459592,21390.37433,inf
Flow IAT Mean,2273097.0,908848.3266267092,4117434.080392858,-13.0,66.66666667,10575.0,108352.0,120000000.0
Flow IAT Std,2273097.0,1577395.3342173705,5868029.88785706,0.0,0.0,109.302333,78967.66348,84800261.5664079
Flow IAT Max,2273097.0,4473837.454076971,14501392.625774177,-13.0,145.0,30667.0,271176.0,120000000.0
Flow IAT Min,2273097.0,147532.11736102772,2688957.8482213872,-14.0,3.0,4.0,82.0,120000000.0
Fwd IAT Total,2273097.0,10899688.754053611,29992850.142163172,0.0,1.0,4.0,220883.0,120000000.0
Fwd IAT Mean,2273097.0,1900297.581756247,9289437.624523677,0.0,1.0,4.0,38183.1578947368,120000000.0
Fwd IAT Std,2273097.0,1248621.219718312,4660672.360988541,0.0,0.0,0.0,19214.79431,84602929.2769822
Fwd IAT Max,2273097.0,4321197.293452501,14586853.841825593,0.0,1.0,4.0,102215.0,120000000.0
Fwd IAT Min,2273097.0,1139994.3835089307,8985260.031286804,0.0,1.0,3.0,49.0,120000000.0
Bwd IAT Total,2273097.0,10163554.913236875,29171531.36496161,0.0,0.0,3.0,38269.0,120000000.0
Bwd IAT Mean,2273097.0,1782199.4396740599,9206796.210696196,0.0,0.0,3.0,7953.538462,120000000.0
Bwd IAT Std,2273097.0,992756.7321394132,4160579.738562654,0.0,0.0,0.0,0.0,84418013.7826341
Bwd IAT Max,2273097.0,3746856.3867076505,13781961.870777551,0.0,0.0,3.0,29077.0,120000000.0
Bwd IAT Min,2273097.0,1119435.8785410388,8913823.442972766,0.0,0.0,2.0,5.0,120000000.0
Fwd PSH Flags,2273097.0,0.054886351088404936,0.22775834204609888,0.0,0.0,0.0,0.0,1.0
Bwd PSH Flags,2273097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,2273097.0,0.00013857745621942224,0.011771079536586458,0.0,0.0,0.0,0.0,1.0
Bwd URG Flags,2273097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Header Length,2273097.0,-32404.36907971811,23493743.992684998,-32212234632.0,40.0,64.0,100.0,4644908.0
Bwd Header Length,2273097.0,-2854.5298216486144,1620579.034607211,-1073741320.0,20.0,40.0,80.0,5838440.0
Fwd Packets/s,2273097.0,58431.63688445404,231907.9362614484,0.0,7.380195442,63.7877144862,11111.11111,3000000.0
Bwd Packets/s,2273097.0,6393.534880773304,37971.305913699296,0.0,0.224642907,25.40756917,6230.529595,2000000.0
Min Packet Length,2273097.0,20.224150135255996,26.533769808723157,0.0,0.0,6.0,40.0,1448.0
Max Packet Length,2273097.0,494.2663480704959,1074.107965342077,0.0,6.0,90.0,218.0,24820.0
Packet Length Mean,2273097.0,109.29283968302296,186.86053902501058,0.0,6.0,58.6,96.66666667,3337.142857
Packet Length Std,2273097.0,147.81882229644071,306.53659301115925,0.0,0.0,27.3861278753,93.53074361,4731.522394
Packet Length Variance,2273097.0,115813.20526597624,579317.5676739992,0.0,0.0,750.0,8748.0,22400000.0
FIN Flag Count,2273097.0,0.01811977227544623,0.13338460913745065,0.0,0.0,0.0,0.0,1.0
SYN Flag Count,2273097.0,0.054886351088404936,0.22775834204609888,0.0,0.0,0.0,0.0,1.0
RST Flag Count,2273097.0,0.00030179090465563065,0.017369512360079428,0.0,0.0,0.0,0.0,1.0
PSH Flag Count,2273097.0,0.25800834720207716,0.43753871165557773,0.0,0.0,0.0,1.0,1.0
ACK Flag Count,2273097.0,0.28694244020382764,0.4523345733137255,0.0,0.0,0.0,1.0,1.0
URG Flag Count,2273097.0,0.11596161536441252,0.3201789565694445,0.0,0.0,0.0,0.0,1.0
CWE Flag Count,2273097.0,0.00013857745621942224,0.011771079536586458,0.0,0.0,0.0,0.0,1.0
ECE Flag Count,2273097.0,0.00030311068995295847,0.017407439420381046,0.0,0.0,0.0,0.0,1.0
Down/Up Ratio,2273097.0,0.7009991214629204,0.6992638702905427,0.0,0.0,1.0,1.0,156.0
Average Packet Size,2273097.0,124.0923279374218,196.75786380731623,0.0,9.0,74.25,124.4571429,3893.333333
Avg Fwd Segment Size,2273097.0,66.39606423585393,204.2561815082441,0.0,6.0,37.0,51.0,4672.0
Avg Bwd Segment Size,2273097.0,160.79668121569668,283.5782352144289,0.0,2.0,77.0,153.0,3787.339614
Fwd Header Length.1,2273097.0,-32404.36907971811,23493743.992684998,-32212234632.0,40.0,64.0,100.0,4644908.0
Fwd Avg Bytes/Bulk,2273097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,2273097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,2273097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,2273097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,2273097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,2273097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Packets,2273097.0,10.654173139113729,836.5356227911906,1.0,2.0,2.0,4.0,219759.0
Subflow Fwd Bytes,2273097.0,635.5238364222909,10618.266381626949,0.0,12.0,66.0,160.0,12870338.0
Subflow Bwd Packets,2273097.0,12.13863640662937,1112.9892235356626,0.0,1.0,2.0,2.0,291922.0
Subflow Bwd Bytes,2273097.0,18848.283611302115,2525375.9073641794,0.0,4.0,130.0,332.0,655453030.0
Init_Win_bytes_forward,2273097.0,6891.551141020379,14922.89078136325,-1.0,-1.0,118.0,8192.0,65535.0
