,count,mean,std,min,25%,50%,75%,max
Destination Port,1966.0,17783.99084435402,19181.147101281967,1841.0,8080.0,8080.0,8080.0,53938.0
Flow Duration,1966.0,350942.67141403863,1968825.0095647397,0.0,47.25,70755.5,885443.5,61003896.0
Total Fwd Packets,1966.0,3.193794506612411,4.019112373551775,1.0,1.0,3.0,4.0,39.0
Total Backward Packets,1966.0,3.3438453713123093,7.651824127810676,1.0,1.0,3.0,3.0,85.0
Total Length of Fwd Packets,1966.0,2645.4486266531026,18405.460849268413,0.0,1.5,6.0,207.0,207930.0
Total Length of Bwd Packets,1966.0,63.8001017293998,81.5684119121647,0.0,6.0,18.0,134.0,626.0
Fwd Packet Length Max,1966.0,405.19633774160735,2282.1549345184294,0.0,1.5,6.0,195.0,23360.0
Fwd Packet Length Min,1966.0,2.2461851475076298,2.904488619668533,0.0,0.0,0.0,6.0,6.0
Fwd Packet Length Mean,1966.0,113.27554156840289,605.3464992683772,0.0,1.5,6.0,51.75,5940.857143
Fwd Packet Length Std,1966.0,120.7495624020088,567.0665610912866,0.0,0.0,0.0,95.54187564,7049.469004
Bwd Packet Length Max,1966.0,51.943031536113935,59.43207733670137,0.0,6.0,6.0,128.0,256.0
Bwd Packet Length Min,1966.0,3.7416073245167856,2.9076311389393643,0.0,0.0,6.0,6.0,6.0
Bwd Packet Length Mean,1966.0,19.357369438637313,18.062846139546327,0.0,6.0,6.0,44.66666667,44.66666667
Bwd Packet Length Std,1966.0,25.53985143053414,33.89435632396205,0.0,0.0,0.0,72.23111056,85.33333333
Flow Bytes/s,1966.0,inf,,0.0,18.146871795000003,5047.4845175,279069.7674,inf
Flow Packets/s,1966.0,inf,,0.29899021,7.22272740275,101.79648895,42331.560285,inf
Flow IAT Mean,1966.0,59374.355285762074,135848.16720107215,0.0,47.25,11460.833335,171127.541675,3541331.765
Flow IAT Std,1966.0,87225.82750302332,189429.80165397172,0.0,0.0,27153.060835,267500.96625,4901981.331
Flow IAT Max,1966.0,172664.9582909461,378487.2300800646,0.0,47.25,68387.0,496945.5,10200000.0
Flow IAT Min,1966.0,199.24872838250255,1743.1288185477895,0.0,23.0,47.0,273.0,57891.0
Fwd IAT Total,1966.0,345903.89064089523,1827009.3663435085,0.0,0.0,70755.5,884850.25,60500000.0
Fwd IAT Mean,1966.0,143635.2522557513,295920.800510916,0.0,0.0,22864.83333,412619.333325,6721470.0
Fwd IAT Std,1966.0,25395.76627615267,166159.7033036172,0.0,0.0,1640.4877325,39212.249895,5268489.909
Fwd IAT Max,1966.0,173383.42777212613,379838.4551649887,0.0,0.0,69858.0,497496.5,10200000.0
Fwd IAT Min,1966.0,125579.93845371313,218002.12256907002,0.0,0.0,30.0,905.0,529012.0
Bwd IAT Total,1966.0,350161.67395727366,1968753.2688063723,0.0,0.0,69177.0,884463.25,61000000.0
Bwd IAT Mean,1966.0,148877.0687130692,307795.72436949104,0.0,0.0,33550.0,442231.625,7518953.625
