,count,mean,std,min,25%,50%,75%,max
Destination Port,128027.0,81.22738172416756,267.40986257043096,80.0,80.0,80.0,80.0,64873.0
Flow Duration,128027.0,16955591.772891656,31012614.94164639,0.0,613093.0,1878978.0,9387233.0,103941558.0
Total Fwd Packets,128027.0,4.47243940731252,1.8978068325069977,1.0,3.0,4.0,5.0,11.0
Total Backward Packets,128027.0,3.2558210377498495,2.5542912955235253,0.0,0.0,4.0,5.0,8.0
Total Length of Fwd Packets,128027.0,31.908597405234833,11.957077252722076,6.0,26.0,26.0,30.0,74.0
Total Length of Bwd Packets,128027.0,7373.6349988674265,5584.659449134711,0.0,0.0,11601.0,11607.0,11613.0
Fwd Packet Length Max,128027.0,14.897638779319987,6.737901874517606,6.0,6.0,20.0,20.0,20.0
Fwd Packet Length Min,128027.0,2.1850390933162536,2.8871965348893727,0.0,0.0,0.0,6.0,6.0
Fwd Packet Length Mean,128027.0,7.4012615418489975,1.2373283844669094,3.0,6.0,7.0,8.666666667,10.0
Fwd Packet Length Std,128027.0,5.721986036615026,4.672056747573134,0.0,0.0,5.656854249,10.26320288,14.14213562
Bwd Packet Length Max,128027.0,4604.362040819515,3966.3417672560977,0.0,0.0,5755.0,7300.0,11595.0
Bwd Packet Length Min,128027.0,0.5920548009404266,28.267397387541774,0.0,0.0,0.0,0.0,1460.0
Bwd Packet Length Mean,128027.0,1481.0264915890182,1164.8731525404992,0.0,0.0,1934.5,2321.4,5800.5
Bwd Packet Length Std,128027.0,2102.589206707903,1869.3856321108294,0.0,0.0,2189.772933,3346.363967,8194.660487
Flow Bytes/s,128027.0,inf,,0.221218089,7.0464735485,160.1068436,16993.6809,inf
Flow Packets/s,128027.0,inf,,0.036869681,0.495356111,2.590678944,13.02635927,inf
Flow IAT Mean,128027.0,1881524.2816928437,2560308.7038690406,0.0,87980.098215,489279.25,2641606.1665000003,44200000.0
Flow IAT Std,128027.0,5111861.497987697,8084489.6489722375,0.0,229800.1495,932072.3964,4910169.551,57500000.0
Flow IAT Max,128027.0,15837816.18967093,28667639.53612463,0.0,603703.5,1876545.0,9219230.0,101000000.0
Flow IAT Min,128027.0,2442.3957055933515,199344.47500513514,-12.0,2.0,4.0,22.0,44200000.0
Fwd IAT Total,128027.0,16516699.42709741,30924392.14837192,0.0,3499.0,1763967.0,9280897.0,103000000.0
Fwd IAT Mean,128027.0,2654833.0921727065,4298210.158348099,0.0,1791.5,490461.0,2641606.1665000003,44200000.0
Fwd IAT Std,128027.0,6134266.73470479,10631951.011954332,0.0,1791.101477,932318.6809,4910169.551,57500000.0
Fwd IAT Max,128027.0,15526931.428526795,28830541.45663866,0.0,3256.0,1762008.0,9219230.0,101000000.0
Fwd IAT Min,128027.0,2647.938223968382,199358.9749645409,-12.0,2.0,8.0,180.0,44200000.0
Bwd IAT Total,128027.0,443915.09831519914,588467.4651336499,0.0,0.0,74700.0,795694.5,6171904.0
Bwd IAT Mean,128027.0,111819.65733047167,153092.73855756156,0.0,0.0,19062.33333,196941.0,1542459.75
Bwd IAT Std,128027.0,218693.13097419756,294710.8819217766,0.0,0.0,33256.78502,389522.0487,3078935.554
Bwd IAT Max,128027.0,439508.3506057316,586870.040989342,0.0,0.0,67471.0,787933.0,6161828.0
Bwd IAT Min,128027.0,78.57347278308482,696.0961634754627,0.0,0.0,4.0,48.0,38006.0
