,count,mean,std,min,25%,50%,75%,max
Destination Port,10293.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0
Flow Duration,10293.0,23127222.217137862,27348213.82314411,649.0,10591422.0,11588797.0,18559963.0,119634581.0
Total Fwd Packets,10293.0,5.9044010492567764,3.0084078745104077,2.0,2.0,7.0,8.0,21.0
Total Backward Packets,10293.0,3.714077528417371,2.421634782142941,0.0,0.0,5.0,5.0,9.0
Total Length of Fwd Packets,10293.0,418.43000097153407,526.4225895533282,0.0,0.0,377.0,468.0,6910.0
Total Length of Bwd Packets,10293.0,6561.31710871466,5203.922744368962,0.0,0.0,4154.0,11632.0,11680.0
Fwd Packet Length Max,10293.0,313.60507140775286,198.8253685227662,0.0,0.0,370.0,445.0,791.0
Fwd Packet Length Min,10293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Packet Length Mean,10293.0,59.444926676840524,56.32629990971373,0.0,0.0,52.5,75.625,422.3076923
Fwd Packet Length Std,10293.0,128.52594217362483,87.70219749738803,0.0,0.0,142.4820164,181.8009115,509.1168825
Bwd Packet Length Max,10293.0,4205.477606140095,3451.067111310887,0.0,0.0,3525.0,5840.0,11632.0
Bwd Packet Length Min,10293.0,0.20402215097639173,1.0874846038441028,0.0,0.0,0.0,0.0,6.0
Bwd Packet Length Mean,10293.0,1256.7110766422807,976.6927414157445,0.0,0.0,1175.0,2326.4,3877.333333
Bwd Packet Length Std,10293.0,1951.918365081355,1598.376492008474,0.0,0.0,1762.5,3185.599598,6715.738331
Flow Bytes/s,10293.0,688.2390583501716,633.9568582694934,0.0,0.0,650.3299706,1067.410092,3662.725997
Flow Packets/s,10293.0,9.13609645399943,114.8019456897012,0.016717574,0.200142161,0.980972959,1.233034863,3081.664099
Flow IAT Mean,10293.0,13824957.773961518,26389043.624961812,649.0,879238.3077,1132296.857,9536358.0,120000000.0
Flow IAT Std,10293.0,4153635.6644204003,13113727.682093075,0.0,0.0,2061646.85,2406947.301,79100000.0
Flow IAT Max,10293.0,19628611.020499367,28571645.524646986,649.0,5483845.0,6550319.0,13500000.0,120000000.0
Flow IAT Min,10293.0,11318405.686291654,25807196.077075854,-11.0,4.0,32.0,805.0,120000000.0
Fwd IAT Total,10293.0,19627671.929758087,28897087.83585295,649.0,5659119.0,6674597.0,14600000.0,120000000.0
Fwd IAT Mean,10293.0,15625443.831956325,30360702.200982273,363.8571429,842586.5714,1152031.167,9536358.0,120000000.0
Fwd IAT Std,10293.0,1731492.5098855433,1552286.7773934607,0.0,0.0,2067062.886,2628208.004,15000000.0
Fwd IAT Max,10293.0,19161810.926552027,28840775.695294786,639.0,5485194.0,6551457.0,13500000.0,120000000.0
Fwd IAT Min,10293.0,14864515.834644904,30722017.279256545,-1.0,4.0,200.0,9189276.0,120000000.0
Bwd IAT Total,10293.0,8043278.783347907,6780624.405997591,0.0,0.0,10500000.0,11600000.0,107000000.0
Bwd IAT Mean,10293.0,2055755.8882590323,2044877.0585695894,0.0,0.0,2270916.4,2968428.0,53400000.0
Bwd IAT Std,10293.0,2418488.1514282264,1944763.7695315485,0.0,0.0,2915961.366,3349003.599,31000000.0
Bwd IAT Max,10293.0,4844970.711357233,4216183.422886563,0.0,0.0,5439418.0,6536334.0,75300000.0
Bwd IAT Min,10293.0,41162.77800446906,807555.063989635,0.0,0.0,49.0,192.0,31600000.0
Fwd PSH Flags,10293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd PSH Flags,10293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,10293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,10293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
