,count,mean,std,min,25%,50%,75%,max
Destination Port,5499.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0
Flow Duration,5499.0,57719891.73449718,36426195.2338681,1.0,20998404.5,63117636.0,63154935.0,119800736.0
Total Fwd Packets,5499.0,5.741771231132933,3.32952321451269,1.0,4.0,7.0,7.0,23.0
Total Backward Packets,5499.0,0.9638116021094745,1.2824045335083591,0.0,0.0,0.0,2.0,12.0
Total Length of Fwd Packets,5499.0,496.55355519185304,1107.8062911190293,0.0,0.0,0.0,530.0,5720.0
Total Length of Bwd Packets,5499.0,118.38570649208947,485.64169707011837,0.0,0.0,0.0,0.0,12777.0
Fwd Packet Length Max,5499.0,234.71758501545736,423.743911989606,0.0,0.0,0.0,356.0,1983.0
Fwd Packet Length Min,5499.0,116.97181305691944,406.1294076842038,0.0,0.0,0.0,0.0,1983.0
Fwd Packet Length Mean,5499.0,156.55358825365502,402.6261734975059,0.0,0.0,0.0,131.25,1983.0
Fwd Packet Length Std,5499.0,55.99030410342607,98.21463125493499,0.0,0.0,0.0,96.7816947,1397.950106
Bwd Packet Length Max,5499.0,111.43917075831969,438.59050100767297,0.0,0.0,0.0,0.0,4344.0
Bwd Packet Length Min,5499.0,0.5211856701218404,27.70179863266038,0.0,0.0,0.0,0.0,1983.0
Bwd Packet Length Mean,5499.0,44.79161362675032,176.84002811524047,0.0,0.0,0.0,0.0,1983.0
Bwd Packet Length Std,5499.0,67.51753014862439,266.87194522085696,0.0,0.0,0.0,0.0,1570.385368
Flow Bytes/s,5499.0,21642420.62646049,134828649.66606507,0.0,0.0,0.0,28.611330340000002,1980000000.0
Flow Packets/s,5499.0,22235.778506778533,136049.87820789954,0.063636858,0.110857653,0.110913085,0.152813277,2000000.0
Flow IAT Mean,5499.0,9609412.446607517,5158201.85980981,1.0,10500000.0,10500000.0,10500000.0,28300000.0
Flow IAT Std,5499.0,14789868.23479939,13707111.942971814,0.0,11900000.0,11900000.0,12200000.0,44900000.0
Flow IAT Max,5499.0,39061592.391343884,34576264.69898317,1.0,21000000.0,32100000.0,32100000.0,110000000.0
Flow IAT Min,5499.0,1024612.7725040916,2296368.783163756,1.0,49.0,996556.0,998530.5,28300000.0
