,count,mean,std,min,25%,50%,75%,max
Destination Port,5796.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0
Flow Duration,5796.0,56554365.02122153,49515224.64009938,2.0,3002437.5,97082009.0,102713348.75,119046064.0
Total Fwd Packets,5796.0,6.337129054520359,5.7496107806516275,1.0,2.0,3.0,14.0,16.0
Total Backward Packets,5796.0,1.6557971014492754,1.262611289306643,0.0,0.0,2.0,3.0,11.0
Total Length of Fwd Packets,5796.0,810.6920289855072,1145.3791435352516,0.0,0.0,16.0,2541.0,3146.0
Total Length of Bwd Packets,5796.0,20.58592132505176,269.6534554921857,0.0,0.0,0.0,6.0,14556.0
Fwd Packet Length Max,5796.0,94.90873015873017,111.81834362198006,0.0,0.0,8.0,231.0,467.0
Fwd Packet Length Min,5796.0,5.108868184955141,26.203854395677432,0.0,0.0,0.0,8.0,239.0
Fwd Packet Length Mean,5796.0,63.098247955359426,78.48819797123775,0.0,0.0,8.0,158.8125,239.0
Fwd Packet Length Std,5796.0,41.28478239684496,51.91411917734496,0.0,0.0,0.0,101.5962598,221.2780652
Bwd Packet Length Max,5796.0,16.427018633540374,129.18299861753462,0.0,0.0,0.0,6.0,5792.0
Bwd Packet Length Min,5796.0,0.002070393374741201,0.11144602556501038,0.0,0.0,0.0,0.0,6.0
Bwd Packet Length Mean,5796.0,7.2640260934265015,46.74229998028971,0.0,0.0,0.0,2.0,1339.285714
Bwd Packet Length Std,5796.0,10.416272033015836,65.57618762248809,0.0,0.0,0.0,3.464101615,2067.882872
Flow Bytes/s,5796.0,43921.22344696996,266856.03301851783,0.0,0.0,2.2313881235,24.8069204425,6155172.414
Flow Packets/s,5796.0,4231.879565032644,20684.985562783164,0.025889992,0.16547507325,0.179852007,0.999203302,1000000.0
Flow IAT Mean,5796.0,10207273.009594357,13405810.191002538,2.0,1501186.875,5869120.4165,6420955.21875,57900000.0
Flow IAT Std,5796.0,17799087.170242757,22828014.328336988,0.0,710631.178175,12500000.0,13775000.0,81900000.0
Flow IAT Max,5796.0,40292603.99827467,39968235.61348658,2.0,2003964.0,51300000.0,51400000.0,119000000.0
Flow IAT Min,5796.0,286908.47826086957,508570.78797224764,1.0,48.0,76.0,997248.0,12800000.0
Fwd IAT Total,5796.0,56648614.756728776,49615329.29276541,0.0,3002423.25,97100000.0,103000000.0,119000000.0
Fwd IAT Mean,5796.0,24704947.543357685,39704940.12714347,0.0,1501190.0,7043216.0335,9391203.708,119000000.0
Fwd IAT Std,5796.0,6091325.326971598,9924180.970486844,0.0,0.0,710819.7989,13500000.0,71400000.0
Fwd IAT Max,5796.0,40288560.26932367,39972051.60166153,0.0,2003964.0,51300000.0,51400000.0,119000000.0
Fwd IAT Min,5796.0,21386487.21963423,41112210.76734222,0.0,244.0,851.0,999739.25,119000000.0
Bwd IAT Total,5796.0,52171169.11749482,51013860.68214173,0.0,0.0,44100000.0,103000000.0,119000000.0
Bwd IAT Mean,5796.0,35276036.36330228,39054103.27867043,0.0,0.0,31500000.0,51300000.0,119000000.0
Bwd IAT Std,5796.0,10134083.039164424,15397008.270608293,0.0,0.0,0.0,28000000.0,76400000.0
Bwd IAT Max,5796.0,42975117.813147,43291216.99308978,0.0,0.0,44100000.0,71300000.0,119000000.0
Bwd IAT Min,5796.0,28240963.334713597,38119231.22552018,0.0,0.0,1127.5,31600000.0,119000000.0
Fwd PSH Flags,5796.0,0.3169427191166322,0.46532503692407784,0.0,0.0,0.0,1.0,1.0
Bwd PSH Flags,5796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,5796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,5796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Header Length,5796.0,214.65700483091788,187.05868011394463,32.0,64.0,120.0,456.0,536.0
Bwd Header Length,5796.0,55.04416839199448,42.28203242803438,0.0,0.0,64.0,100.0,360.0
Fwd Packets/s,5796.0,2101.8249014095336,10342.930831793468,0.016804417,0.13627331125,0.15144828,0.99920063975,500000.0
Bwd Packets/s,5796.0,2130.054663633563,10348.54649840812,0.0,0.0,0.0262530085,0.029231022500000002,500000.0
Min Packet Length,5796.0,0.004140786749482402,0.15758127646274359,0.0,0.0,0.0,0.0,6.0
Max Packet Length,5796.0,106.31038647342996,162.19123269948486,0.0,0.0,8.0,231.0,5792.0
Packet Length Mean,5796.0,50.957426263133456,65.49001344103658,0.0,0.0,5.333333333,127.35,651.3333333
Packet Length Std,5796.0,50.147473410746514,65.4128272741869,0.0,0.0,4.618802154,115.4547276,1511.979293
Packet Length Variance,5796.0,6792.86882107184,36209.82118736134,0.0,0.0,21.33333333,13329.79412,2286081.381
FIN Flag Count,5796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN Flag Count,5796.0,0.3169427191166322,0.46532503692407784,0.0,0.0,0.0,1.0,1.0
RST Flag Count,5796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSH Flag Count,5796.0,0.6682194616977226,0.47089326838058954,0.0,0.0,1.0,1.0,1.0
ACK Flag Count,5796.0,0.33178053830227744,0.47089326838058954,0.0,0.0,0.0,1.0,1.0
URG Flag Count,5796.0,0.026742581090407176,0.1613440634306462,0.0,0.0,0.0,0.0,1.0
CWE Flag Count,5796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,5796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Down/Up Ratio,5796.0,0.31849551414768806,0.5155154872370671,0.0,0.0,0.0,1.0,2.0
Average Packet Size,5796.0,55.72239229074129,72.10365075852853,0.0,0.0,8.0,134.0526316,697.8571429
Avg Fwd Segment Size,5796.0,63.098247955359426,78.48819797123775,0.0,0.0,8.0,158.8125,239.0
Avg Bwd Segment Size,5796.0,7.2640260934265015,46.74229998028971,0.0,0.0,0.0,2.0,1339.285714
Fwd Header Length.1,5796.0,214.65700483091788,187.05868011394463,32.0,64.0,120.0,456.0,536.0
Fwd Avg Bytes/Bulk,5796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,5796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,5796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
