,count,mean,std,min,25%,50%,75%,max
Destination Port,7938.0,21.007432602670697,0.6622111125399369,21.0,21.0,21.0,21.0,80.0
Flow Duration,7938.0,4513244.597757622,4527255.604199212,0.0,219.0,4044135.0,8994940.5,10780124.0
Total Fwd Packets,7938.0,5.49697656840514,3.499859199774699,1.0,2.0,6.0,9.0,9.0
Total Backward Packets,7938.0,7.808390022675737,7.18645606087856,0.0,1.0,6.0,15.0,15.0
Total Length of Fwd Packets,7938.0,60.03212396069539,46.33576372167712,0.0,14.0,30.5,106.0,135.0
Total Length of Bwd Packets,7938.0,93.90677752582515,93.92231315869239,0.0,0.0,76.0,188.0,188.0
Fwd Packet Length Max,7938.0,18.994960947341898,5.572455595423988,0.0,14.0,16.0,23.0,49.0
Fwd Packet Length Min,7938.0,0.019400352733686066,0.5208288944229669,0.0,0.0,0.0,0.0,14.0
Fwd Packet Length Mean,7938.0,9.389891450405528,2.4936649667759854,0.0,7.0,9.6875,11.77777778,15.0
Fwd Packet Length Std,7938.0,9.697019439215913,0.8459948138503598,0.0,9.457507306,9.899494937,9.899494937,15.50358382
Bwd Packet Length Max,7938.0,17.017132779037542,17.001062266028747,0.0,0.0,34.0,34.0,34.0
Bwd Packet Length Min,7938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Packet Length Mean,7938.0,6.273351808202486,6.267445631632696,0.0,0.0,12.53333333,12.53333333,13.2
Bwd Packet Length Std,7938.0,7.28231207970457,7.275444713939593,0.0,0.0,14.54975045,14.54975045,14.67878287
Flow Bytes/s,7938.0,inf,,0.0,32.655694045,38.21728709,63926.94064,inf
Flow Packets/s,7938.0,inf,,0.766852494,2.668073186,3.212782032,13698.63014,inf
Flow IAT Mean,7938.0,196815.7910469937,197639.25496340028,0.0,109.125,324791.58695,391098.06522499997,1738709.0
Flow IAT Std,7938.0,511041.59837774397,512617.7379947281,0.0,35.35533906,840265.977,1017118.736,3010454.167
Flow IAT Max,7938.0,1631614.2598891407,1637003.8287683888,0.0,139.0,2556876.5,3247200.75,5214882.0
Flow IAT Min,7938.0,79.85537918871252,1427.0646216243815,-1.0,3.0,3.0,53.0,40020.0
Fwd IAT Total,7938.0,3014698.4040060467,3028258.6317167035,0.0,219.0,4044135.0,6010039.25,7441635.0
Fwd IAT Mean,7938.0,377655.31106521795,379591.222324603,0.0,219.0,592056.8125,751756.90625,2608063.5
Fwd IAT Std,7938.0,696429.1655917107,699922.1638937456,0.0,0.0,1091873.416,1388530.7025000001,3686598.077
Fwd IAT Max,7938.0,1603645.5384227766,1612228.3400722544,0.0,219.0,2477739.0,3204291.5,5214882.0
Fwd IAT Min,7938.0,175.3798185941043,1427.9798463946636,0.0,3.0,49.0,231.0,40020.0
Bwd IAT Total,7938.0,4512284.57457798,4527534.66987735,0.0,0.0,3989438.5,8994859.5,10800000.0
Bwd IAT Mean,7938.0,323152.16521606146,323968.3286111532,0.0,0.0,535396.7143,642772.785725,812399.0
Bwd IAT Std,7938.0,630723.02111212,632364.0552790306,0.0,0.0,1034154.4055,1255394.66025,1531735.811
Bwd IAT Max,7938.0,1630850.615898211,1636717.9209457682,0.0,0.0,2556541.0,3246844.25,3899912.0
Bwd IAT Min,7938.0,3.584278155706727,26.907220275419622,0.0,0.0,1.0,3.0,913.0
Fwd PSH Flags,7938.0,0.4972285210380448,0.5000238154165609,0.0,0.0,0.0,1.0,1.0
Bwd PSH Flags,7938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,7938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
