,count,mean,std,min,25%,50%,75%,max
Destination Port,11.0,444.0,0.0,444.0,444.0,444.0,444.0,444.0
Flow Duration,11.0,110679707.54545455,28509726.67355282,24719667.0,119259449.0,119261118.0,119297294.0,119302728.0
Total Fwd Packets,11.0,2583.7272727272725,662.0936626957082,590.0,2782.0,2792.0,2799.0,2805.0
Total Backward Packets,11.0,1897.1818181818182,497.14360464192197,436.0,2017.0,2069.0,2100.5,2130.0
Total Length of Fwd Packets,11.0,12509.727272727272,3590.8101618133223,7442.0,10816.0,12264.0,13712.0,20858.0
Total Length of Bwd Packets,11.0,7276360.636363637,1872960.0896817995,1636683.0,7845238.5,7878135.0,7879536.0,7882432.0
Fwd Packet Length Max,11.0,4522.636363636364,1877.8165124807733,517.0,4344.0,5792.0,5792.0,5792.0
Fwd Packet Length Min,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Packet Length Mean,11.0,5.391533128363636,2.640263830282137,3.090875233,4.3839210715,4.888413547,4.9120546085,12.61355932
Fwd Packet Length Std,11.0,100.27265480454547,57.38172105191658,16.85842056,83.159740145,110.1207904,110.38631765,238.7086577
Bwd Packet Length Max,11.0,14874.90909090909,1952.4828016935492,13032.0,13032.0,14480.0,16652.0,17376.0
Bwd Packet Length Min,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Packet Length Mean,11.0,3838.7233680000004,188.90344265366517,3699.312676,3743.786681,3773.303973,3846.6517415,4370.686524
Bwd Packet Length Std,11.0,2404.5222242727273,85.66531745353022,2284.046514,2364.9896935,2374.669707,2451.4016359999996,2566.935004
Flow Bytes/s,11.0,65902.80217272727,847.0789975907747,63411.92802,66152.38062499999,66172.23234,66173.01703,66510.80696
Flow Packets/s,11.0,40.55898991363637,1.2300047308734297,36.99831575,40.66950662,40.83548839,41.115616405,41.50541348
Flow IAT Mean,11.0,24684.474692727275,805.3245405994599,24116.74829,24326.62243,24493.53296,24593.888215,27034.38205
Flow IAT Std,11.0,154771.7127090909,6659.541819543682,149983.8918,152761.6558,153117.4894,153345.62085,174625.7584
Flow IAT Max,11.0,1452711.0909090908,1222169.0735976307,995232.0,995260.5,995350.0,995998.0,5024984.0
Flow IAT Min,11.0,-0.36363636363636365,0.504524979109513,-1.0,-1.0,0.0,0.0,0.0
Fwd IAT Total,11.0,110427272.72727273,28432519.79368311,24700000.0,119000000.0,119000000.0,119000000.0,119000000.0
Fwd IAT Mean,11.0,42794.92990909091,602.335999616187,41968.87436,42584.64129,42699.91694,42814.66239,44449.50857
Fwd IAT Std,11.0,202376.89385454546,6748.297353569061,197466.2052,200287.74495000002,200852.4929,200988.26390000002,222461.7159
Fwd IAT Max,11.0,1453983.3636363635,1221945.536368481,996222.0,996376.0,996919.0,998010.0,5025702.0
Fwd IAT Min,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd IAT Total,11.0,110372727.27272727,28613426.600429766,24100000.0,119000000.0,119000000.0,119000000.0,119000000.0
Bwd IAT Mean,11.0,58297.85127818182,3760.443551222684,55301.75862,56495.192545,57135.03448,58289.59367,69040.90509
Bwd IAT Std,11.0,234325.60285454543,13339.185573127781,225933.6008,229028.23129999998,230051.9919,233145.91515000002,273867.424
Bwd IAT Max,11.0,1452711.0909090908,1222169.0735976307,995232.0,995260.5,995350.0,995998.0,5024984.0
Bwd IAT Min,11.0,1.2727272727272727,0.46709936649691375,1.0,1.0,1.0,1.5,2.0
Fwd PSH Flags,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd PSH Flags,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Header Length,11.0,82682.18181818182,21187.89868683623,18880.0,89024.0,89356.0,89568.0,89772.0
Bwd Header Length,11.0,60710.545454545456,15908.324892103734,13952.0,64544.0,66208.0,67216.0,68160.0
Fwd Packets/s,11.0,23.381925715454543,0.32536875323357184,22.50577204,23.364899190000003,23.42758517,23.491021085,23.86763543
Bwd Packets/s,11.0,17.177064197272728,0.9437192809405485,14.49254371,17.1657184,17.51077193,17.664943075,17.85997009
Min Packet Length,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Packet Length,11.0,14874.90909090909,1952.4828016935492,13032.0,13032.0,14480.0,16652.0,17376.0
Packet Length Mean,11.0,1626.6023184545454,31.292871230688768,1603.27797,1609.7206194999999,1620.054165,1627.4613235000002,1713.525708
Packet Length Std,11.0,2457.5844810909093,83.0442079613556,2377.954578,2415.283105,2427.68666,2485.3895700000003,2669.389319
Packet Length Variance,11.0,6045990.881909091,418658.03190208797,5654667.975,5833593.897,5893662.519,6177345.932,7125639.337
FIN Flag Count,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN Flag Count,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RST Flag Count,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSH Flag Count,11.0,0.09090909090909091,0.3015113445777636,0.0,0.0,0.0,0.0,1.0
ACK Flag Count,11.0,0.9090909090909091,0.3015113445777636,0.0,1.0,1.0,1.0,1.0
URG Flag Count,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWE Flag Count,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Down/Up Ratio,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Average Packet Size,11.0,1627.0518899999997,31.23312282509094,1603.603574,1610.0500124999999,1620.38662,1627.796789,1713.91391
Avg Fwd Segment Size,11.0,5.391533128363636,2.640263830282137,3.090875233,4.3839210715,4.888413547,4.9120546085,12.61355932
Avg Bwd Segment Size,11.0,3838.7233680000004,188.90344265366517,3699.312676,3743.786681,3773.303973,3846.6517415,4370.686524
Fwd Header Length.1,11.0,82682.18181818182,21187.89868683623,18880.0,89024.0,89356.0,89568.0,89772.0
Fwd Avg Bytes/Bulk,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
