,count,mean,std,min,25%,50%,75%,max
Destination Port,36.0,444.0,0.0,444.0,444.0,444.0,444.0,444.0
Flow Duration,36.0,78407720.5,40396638.48239088,20.0,54516598.25,93188869.0,116775756.25,119995180.0
Total Fwd Packets,36.0,830.2222222222222,1502.960547169887,2.0,15.0,26.0,1062.5,5523.0
Total Backward Packets,36.0,829.6111111111111,1502.9784767545082,0.0,15.0,26.0,1062.5,5525.0
Total Length of Fwd Packets,36.0,376725.77777777775,747593.2489368843,0.0,3737.75,7020.0,310861.75,2866110.0
Total Length of Bwd Packets,36.0,5013.666666666667,9041.683967681503,0.0,90.0,174.0,6375.0,33406.0
Fwd Packet Length Max,36.0,1010.3055555555555,493.7809126348849,0.0,705.0,1226.0,1320.5,1460.0
Fwd Packet Length Min,36.0,5.0,2.2677868380553634,0.0,6.0,6.0,6.0,6.0
Fwd Packet Length Mean,36.0,296.866603125,184.07551878010932,0.0,210.439285725,289.26853265,386.8226891,920.75
Fwd Packet Length Std,36.0,293.07794085027774,160.59419043278467,0.0,227.212915525,269.84091550000005,407.30621915,634.2340149
Bwd Packet Length Max,36.0,41.75,91.76098610754231,0.0,6.0,6.0,6.0,267.0
Bwd Packet Length Min,36.0,4.666666666666667,2.5298221281347026,0.0,6.0,6.0,6.0,6.0
Bwd Packet Length Mean,36.0,7.039445042111111,7.482968389348813,0.0,6.0,6.0,6.0,48.5
Bwd Packet Length Std,36.0,5.447415991472223,19.8197952706768,0.0,0.0,0.0,0.0,107.0696035
Flow Bytes/s,36.0,20188.219030217413,99596.21049751129,1.273469017,54.5347167,173.35137005,4874.236844,600000.0
Flow Packets/s,36.0,2820.0630398796666,16660.219396947035,0.053061209,0.5096455435,0.997978426,32.105640635,100000.0
Flow IAT Mean,36.0,2020438.9288708332,4690047.52932818,20.0,31423.0770075,1016159.19,2031689.66325,28300000.0
Flow IAT Std,36.0,6596990.911659166,8151137.40550135,0.0,444371.22195000004,3549688.949,8985495.24725,40000000.0
Flow IAT Max,36.0,37662404.277777776,30055536.693679046,20.0,9739440.75,35100000.0,55000000.0,104000000.0
Flow IAT Min,36.0,8209.444444444445,48619.17888678701,-1.0,1.0,13.0,33.25,291814.0
Fwd IAT Total,36.0,74511553.0,43141386.203123316,20.0,48625000.0,83100000.0,112750000.0,120000000.0
Fwd IAT Mean,36.0,3580845.2153258338,9363342.267680924,20.0,61309.3627275,1211202.2541999999,4001974.37,56500000.0
Fwd IAT Std,36.0,6589709.11650361,8231169.88170017,0.0,168043.620975,2537335.787,12250000.0,27700000.0
Fwd IAT Max,36.0,34985571.027777776,31093469.69601454,20.0,8085207.75,29900000.0,55000000.0,104000000.0
Fwd IAT Min,36.0,1690125.2222222222,9420096.924170015,1.0,69.5,412.0,497.75,56500000.0
Bwd IAT Total,36.0,76175128.44444445,43349961.046081506,0.0,47050000.0,93200000.0,116500000.0,120000000.0
Bwd IAT Mean,36.0,2255289.2861530557,2690495.9318212084,0.0,34432.651235,756410.3923,4001972.4299999997,8532630.2
Bwd IAT Std,36.0,7548879.134500001,8579076.044317279,0.0,168121.142375,3366228.782,12725000.0,27700000.0
Bwd IAT Max,36.0,35713999.666666664,30920538.596936673,0.0,7365021.25,31750000.0,55000000.0,104000000.0
Bwd IAT Min,36.0,353.22222222222223,276.64346431681037,0.0,1.0,510.0,531.0,832.0
Fwd PSH Flags,36.0,0.5555555555555556,0.5039526306789697,0.0,0.0,1.0,1.0,1.0
Bwd PSH Flags,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Header Length,36.0,16610.555555555555,30057.850692522385,40.0,300.0,520.0,21250.0,110472.0
Bwd Header Length,36.0,16593.88888888889,30060.68004912518,0.0,300.0,520.0,21250.0,110512.0
Fwd Packets/s,36.0,2812.614726076389,16661.494878804144,0.035374139,0.25843826524999997,0.5052579335,16.0611540275,100000.0
Bwd Packets/s,36.0,7.448313803083333,12.650827047240602,0.0,0.18265272024999998,0.3168403225,10.984498339000002,46.04480002
Min Packet Length,36.0,5.0,2.2677868380553634,0.0,6.0,6.0,6.0,6.0
Max Packet Length,36.0,1015.3055555555555,484.96691017867795,6.0,705.0,1226.0,1320.5,1460.0
Packet Length Mean,36.0,161.1012923598889,135.92966574823248,2.903225806,106.52297219,146.710511,195.576834125,825.1111111
Packet Length Std,36.0,256.938563423,136.39810060520605,0.0,199.5683416,280.701496,321.44447095,659.0086199
Packet Length Variance,36.0,84105.07717654391,77437.01518746502,0.0,39941.248,78793.88655,103326.550625,434292.3611
FIN Flag Count,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN Flag Count,36.0,0.5555555555555556,0.5039526306789697,0.0,0.0,1.0,1.0,1.0
RST Flag Count,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSH Flag Count,36.0,0.16666666666666666,0.37796447300922714,0.0,0.0,0.0,0.0,1.0
ACK Flag Count,36.0,0.8333333333333334,0.37796447300922714,0.0,1.0,1.0,1.0,1.0
