,count,mean,std,min,25%,50%,75%,max
Destination Port,158930.0,8624.460177436607,13446.685966780937,0.0,1124.0,3690.0,8291.0,65389.0
Flow Duration,158930.0,82820.22837098094,2325854.5354285566,0.0,42.0,47.0,61.0,119809735.0
Total Fwd Packets,158930.0,1.0175800666960297,0.4255942316753068,1.0,1.0,1.0,1.0,150.0
Total Backward Packets,158930.0,1.0049581576794815,0.14548975731479508,0.0,1.0,1.0,1.0,30.0
Total Length of Fwd Packets,158930.0,1.0891713332913862,5.661538575813656,0.0,0.0,0.0,2.0,1473.0
Total Length of Bwd Packets,158930.0,12.237865727049645,267.2980422956512,0.0,6.0,6.0,6.0,11595.0
Fwd Packet Length Max,158930.0,1.0697602718177814,3.5231533037865908,0.0,0.0,0.0,2.0,397.0
Fwd Packet Length Min,158930.0,0.9873906751399988,1.0068467074432192,0.0,0.0,0.0,2.0,48.0
Fwd Packet Length Mean,158930.0,1.0094433608087847,1.3106759272646924,0.0,0.0,0.0,2.0,147.3
Fwd Packet Length Std,158930.0,0.04103351101024357,1.5692804914016454,0.0,0.0,0.0,0.0,190.5868423
Bwd Packet Length Max,158930.0,8.789876046058012,120.51335974061433,0.0,6.0,6.0,6.0,5792.0
Bwd Packet Length Min,158930.0,5.9594664317624115,0.479459892410097,0.0,6.0,6.0,6.0,48.0
Bwd Packet Length Mean,158930.0,7.07863577755055,47.38937605221515,0.0,6.0,6.0,6.0,2315.2
Bwd Packet Length Std,158930.0,1.1942719536838882,50.69017982206821,0.0,0.0,0.0,0.0,2628.883261
Flow Bytes/s,158930.0,inf,,0.0,111111.1111,139534.8837,186046.5116,inf
Flow Packets/s,158930.0,inf,,0.033386269,32786.88525,42553.19149,47619.04762,inf
Flow IAT Mean,158930.0,26390.707647022293,756735.7916247713,0.0,42.0,47.0,61.0,39900000.0
Flow IAT Std,158930.0,45668.73419382641,1309706.6979010673,0.0,0.0,0.0,0.0,69200000.0
Flow IAT Max,158930.0,80293.2300006292,2273612.3533077105,0.0,42.0,47.0,61.0,120000000.0
Flow IAT Min,158930.0,87.84072233058579,8865.63856122415,0.0,41.0,47.0,61.0,2226047.0
Fwd IAT Total,158930.0,82662.57628515699,2326351.088984854,0.0,0.0,0.0,0.0,120000000.0
Fwd IAT Mean,158930.0,78168.19060616456,2267434.460071528,0.0,0.0,0.0,0.0,120000000.0
Fwd IAT Std,158930.0,2000.124942065286,95519.23015054311,0.0,0.0,0.0,0.0,18000000.0
Fwd IAT Max,158930.0,80149.58722708111,2273509.626774534,0.0,0.0,0.0,0.0,120000000.0
Fwd IAT Min,158930.0,76669.77424023155,2266264.449916982,0.0,0.0,0.0,0.0,120000000.0
Bwd IAT Total,158930.0,80235.4216069968,2287386.516328254,0.0,0.0,0.0,0.0,120000000.0
Bwd IAT Mean,158930.0,78060.50971076786,2267654.016471191,0.0,0.0,0.0,0.0,120000000.0
Bwd IAT Std,158930.0,1189.8683463276625,75036.87953453521,0.0,0.0,0.0,0.0,18000000.0
Bwd IAT Max,158930.0,79559.23342351979,2271105.794359182,0.0,0.0,0.0,0.0,120000000.0
Bwd IAT Min,158930.0,77369.46431133203,2267181.1497103255,0.0,0.0,0.0,0.0,120000000.0
Fwd PSH Flags,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd PSH Flags,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Header Length,158930.0,32.595381614547286,10.330471393131711,0.0,24.0,40.0,40.0,328.0
Bwd Header Length,158930.0,20.237261687535394,4.622359070382899,0.0,20.0,20.0,20.0,296.0
Fwd Packets/s,158930.0,31327.322542182414,63942.70517539667,0.0,16393.44262,21276.59574,23809.52381,1000000.0
Bwd Packets/s,158930.0,31313.541915512527,63948.87257351402,0.0,16393.44262,21276.59574,23809.52381,1000000.0
Min Packet Length,158930.0,0.9873906751399988,1.0068467074432192,0.0,0.0,0.0,2.0,48.0
Max Packet Length,158930.0,8.81375448310577,120.52386290612733,0.0,6.0,6.0,6.0,5792.0
Packet Length Mean,158930.0,3.2460249950293707,25.27624968188308,0.0,2.0,2.0,3.333333333,1161.3
Packet Length Std,158930.0,3.8810585697580438,42.284251676782695,0.0,2.309401077,3.464101615,3.464101615,2137.603541
Packet Length Variance,158930.0,1803.0093052792442,78567.12082700068,0.0,5.333333333,12.0,12.0,4569348.9
FIN Flag Count,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN Flag Count,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RST Flag Count,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSH Flag Count,158930.0,0.9995721386774051,0.020680448454629283,0.0,1.0,1.0,1.0,1.0
ACK Flag Count,158930.0,0.000383816774680677,0.019587543834205537,0.0,0.0,0.0,0.0,1.0
URG Flag Count,158930.0,2.5168313093814886e-05,0.005016755725348562,0.0,0.0,0.0,0.0,1.0
CWE Flag Count,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Down/Up Ratio,158930.0,0.992927704020638,0.08790358351459095,0.0,1.0,1.0,1.0,2.0
Average Packet Size,158930.0,4.6306144953378565,27.930449646586926,0.0,3.0,3.0,5.0,1290.333333
Avg Fwd Segment Size,158930.0,1.0094433608087847,1.3106759272646924,0.0,0.0,0.0,2.0,147.3
Avg Bwd Segment Size,158930.0,7.07863577755055,47.38937605221515,0.0,6.0,6.0,6.0,2315.2
Fwd Header Length.1,158930.0,32.595381614547286,10.330471393131711,0.0,24.0,40.0,40.0,328.0
Fwd Avg Bytes/Bulk,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,158930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Packets,158930.0,1.0175800666960297,0.4255942316753068,1.0,1.0,1.0,1.0,150.0
Subflow Fwd Bytes,158930.0,1.0891713332913862,5.661538575813656,0.0,0.0,0.0,2.0,1473.0
Subflow Bwd Packets,158930.0,1.0049581576794815,0.14548975731479508,0.0,1.0,1.0,1.0,30.0
Subflow Bwd Bytes,158930.0,12.237865727049645,267.2980422956512,0.0,6.0,6.0,6.0,11595.0
Init_Win_bytes_forward,158930.0,15284.735399232366,14106.121538265526,-1.0,1024.0,29200.0,29200.0,64240.0
Init_Win_bytes_backward,158930.0,177.42238092241868,2262.5906372178165,-1.0,0.0,0.0,0.0,29200.0
act_data_pkt_fwd,158930.0,0.003995469703643113,0.0639749098205949,0.0,0.0,0.0,0.0,4.0
min_seg_size_forward,158930.0,32.04877619077581,7.998416544673648,0.0,24.0,40.0,40.0,40.0
Active Mean,158930.0,67.78951679355691,12052.210074446883,0.0,0.0,0.0,0.0,2368532.333
Active Std,158930.0,3.061498428238847,882.9130681488151,0.0,0.0,0.0,0.0,295817.9054
Active Max,158930.0,73.07201912791795,13075.395501416726,0.0,0.0,0.0,0.0,2686269.0
Active Min,158930.0,64.6315484804631,11483.664094315822,0.0,0.0,0.0,0.0,2226047.0
Idle Mean,158930.0,79628.43091298056,2271735.4771272545,0.0,0.0,0.0,0.0,120000000.0
Idle Std,158930.0,61.37479234002391,23119.866095042024,0.0,0.0,0.0,0.0,9208869.311
Idle Max,158930.0,79763.08138803247,2273208.1265073125,0.0,0.0,0.0,0.0,120000000.0
Idle Min,158930.0,79600.11656075002,2271578.741148042,0.0,0.0,0.0,0.0,120000000.0
