,count,mean,std,min,25%,50%,75%,max
Destination Port,5897.0,22.0,0.0,22.0,22.0,22.0,22.0,22.0
Flow Duration,5897.0,6168966.825843649,6515877.456126038,1.0,75.0,2475285.0,12131528.0,119816717.0
Total Fwd Packets,5897.0,11.124978802781076,10.123280886791509,1.0,1.0,14.0,21.0,33.0
Total Backward Packets,5897.0,16.532304561641514,15.529669681966483,0.0,1.0,12.0,32.0,43.0
Total Length of Fwd Packets,5897.0,1008.5908088858741,1006.9419566560317,0.0,0.0,1128.0,2008.0,3832.0
Total Length of Bwd Packets,5897.0,1382.5504493810413,1383.8878611183954,0.0,0.0,2009.0,2745.0,5673.0
Fwd Packet Length Max,5897.0,321.64965236560965,320.62190674759853,0.0,0.0,640.0,640.0,1432.0
Fwd Packet Length Min,5897.0,0.008139732067152789,0.44195071713254486,0.0,0.0,0.0,0.0,24.0
Fwd Packet Length Mean,5897.0,47.876213357081895,47.78977920725193,0.0,0.0,73.33333333,95.61904762,174.1818182
Fwd Packet Length Std,5897.0,70.44061154071697,70.29623849499934,0.0,0.0,121.3776121,140.0451628,377.8957354
Bwd Packet Length Max,5897.0,489.90334068170256,488.03767011698136,0.0,0.0,976.0,976.0,976.0
Bwd Packet Length Min,5897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Packet Length Mean,5897.0,43.466228622685485,43.680881838247316,0.0,0.0,76.53846154,85.78125,200.9
Bwd Packet Length Std,5897.0,111.13349192379137,111.0394233686303,0.0,0.0,198.0926341,220.240592,377.1602813
Flow Bytes/s,5897.0,439.818121408448,8710.873224713852,0.0,0.0,326.1023863,393.3967613,600000.0
Flow Packets/s,5897.0,15435.235128040926,33034.14104101901,0.250475632,4.370485343,9.695853205,26666.66667,2000000.0
Flow IAT Mean,5897.0,118963.74037603958,137893.88891344663,1.0,75.0,107621.087,233136.9388,4130073.448
Flow IAT Std,5897.0,325630.71548194066,497802.72607784835,0.0,0.0,456181.7548,631371.5357,21400000.0
Flow IAT Max,5897.0,1236446.681532983,2417061.0272510024,1.0,75.0,1796402.0,2387015.0,115000000.0
Flow IAT Min,5897.0,92.0174665083941,1426.166395285792,-1.0,3.0,28.0,75.0,40626.0
Fwd IAT Total,5897.0,5142476.817364762,5177996.905950403,0.0,0.0,2475285.0,10200000.0,17300000.0
Fwd IAT Mean,5897.0,255725.52778285556,257211.52930256774,0.0,0.0,209786.3333,508558.75,728235.0
Fwd IAT Std,5897.0,453281.6007187093,454636.46920489596,0.0,0.0,653363.2767,899779.7668,1412506.681
Fwd IAT Max,5897.0,1216581.8097337629,1229834.2130649216,0.0,0.0,1809040.0,2401503.0,6027793.0
Fwd IAT Min,5897.0,279.85094115652026,2399.8139041225213,0.0,0.0,3.0,389.0,145983.0
Bwd IAT Total,5897.0,6167905.625911481,6517241.072508056,0.0,0.0,2374289.0,12100000.0,120000000.0
Bwd IAT Mean,5897.0,200417.0099948109,244783.68350930186,0.0,0.0,235324.9,391763.0667,7987775.6
Bwd IAT Std,5897.0,405941.12116071273,669855.3755065562,0.0,0.0,636553.7402,784405.3149,29700000.0
Bwd IAT Max,5897.0,1236296.74885535,2417085.3528679204,0.0,0.0,1796402.0,2387015.0,115000000.0
Bwd IAT Min,5897.0,7.315923350856368,61.05933402719292,0.0,0.0,1.0,3.0,2238.0
