,count,mean,std,min,25%,50%,75%,max
Destination Port,1507.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0
Flow Duration,1507.0,6506181.6257465165,6415511.120914591,20.0,5180548.0,5552319.0,5838340.0,35451960.0
Total Fwd Packets,1507.0,12.371599203715991,42.405663635851816,1.0,3.0,3.0,3.0,204.0
Total Backward Packets,1507.0,6.0564034505640345,21.803331459973272,1.0,1.0,1.0,1.0,106.0
Total Length of Fwd Packets,1507.0,2111.5023224950232,9297.962862062452,0.0,0.0,0.0,0.0,43951.0
Total Length of Bwd Packets,1507.0,3484.7372262773724,15333.946998790292,0.0,0.0,0.0,0.0,80534.0
Fwd Packet Length Max,1507.0,54.505640345056406,166.21025961044558,0.0,0.0,0.0,0.0,602.0
Fwd Packet Length Min,1507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Packet Length Mean,1507.0,16.86931227511613,53.04735059717536,0.0,0.0,0.0,0.0,216.5073892
Fwd Packet Length Std,1507.0,23.56848632329129,71.76442269459449,0.0,0.0,0.0,0.0,301.0
Bwd Packet Length Max,1507.0,91.85733244857333,435.19069740962465,0.0,0.0,0.0,0.0,7926.0
Bwd Packet Length Min,1507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Packet Length Mean,1507.0,41.622305713205044,161.4392905578751,0.0,0.0,0.0,0.0,1411.428571
Bwd Packet Length Std,1507.0,32.16870838161912,124.96942079056264,0.0,0.0,0.0,0.0,1966.095532
Flow Bytes/s,1507.0,179.28074241463835,764.9599490565627,0.0,0.0,0.0,0.0,7589.090322
Flow Packets/s,1507.0,3684.902271969808,12886.32775618495,0.666629113,0.6962053265,0.739068393,0.7910967600000001,100000.0
Flow IAT Mean,1507.0,1546227.7221934907,645902.1558518816,20.0,1685423.8335,1804073.0,1915143.8335,2000112.667
Flow IAT Std,1507.0,2685586.409633477,1103175.3150447109,0.0,2918476.7595,3123976.218,3316460.8954999996,3463586.636
Flow IAT Max,1507.0,4802932.4034505645,1746826.0175088737,20.0,5055390.5,5411330.0,5744663.0,5999518.0
Flow IAT Min,1507.0,109.88586595885866,38.408532703366646,2.0,93.5,121.0,131.0,283.0
Fwd IAT Total,1507.0,6263634.688785667,6417408.983933984,0.0,5114005.5,5485247.0,5792614.0,35400000.0
Fwd IAT Mean,1507.0,2290086.694527291,991627.3635289011,0.0,2528135.75,2706109.5,2872715.75,3000169.0
Fwd IAT Std,1507.0,3264637.775245226,1372023.0280809246,0.0,3574077.943,3825759.52,4061546.751,4241720.034
Fwd IAT Max,1507.0,4745014.537491705,1773811.207814636,0.0,5055390.5,5411330.0,5744663.0,5999518.0
Fwd IAT Min,1507.0,750.863304578633,286.2324182167514,0.0,697.0,864.0,887.0,3093.0
Bwd IAT Total,1507.0,2053800.1134704712,7381099.6450238945,0.0,0.0,0.0,0.0,35500000.0
Bwd IAT Mean,1507.0,158455.19276956,635249.4686689938,0.0,0.0,0.0,0.0,3298365.333
Bwd IAT Std,1507.0,152547.85736113277,577897.8397328977,0.0,0.0,0.0,0.0,2864350.285
Bwd IAT Max,1507.0,356385.14532183146,1177110.4674227468,0.0,0.0,0.0,0.0,5005229.0
Bwd IAT Min,1507.0,119.66290643662906,585.4301404723656,0.0,0.0,0.0,0.0,6531.0
Fwd PSH Flags,1507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd PSH Flags,1507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,1507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,1507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Header Length,1507.0,403.1320504313205,1357.1868258131076,32.0,104.0,104.0,104.0,6536.0
Bwd Header Length,1507.0,201.04578633045787,697.8866903470674,32.0,40.0,40.0,40.0,3400.0
Fwd Packets/s,1507.0,1844.5657862306664,6445.502554673652,0.404235049,0.518615711,0.547663021,0.5871137344999999,50000.0
