,count,mean,std,min,25%,50%,75%,max
Destination Port,21.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0
Flow Duration,21.0,2870398.285714286,2547204.3487232258,42.0,73.0,5006127.0,5009673.0,5086516.0
Total Fwd Packets,21.0,3.0476190476190474,1.8021151593666394,1.0,1.0,4.0,4.0,6.0
Total Backward Packets,21.0,2.6666666666666665,1.5275252316519468,1.0,1.0,3.0,4.0,5.0
Total Length of Fwd Packets,21.0,316.0,283.4783942384322,0.0,0.0,460.0,599.0,600.0
Total Length of Bwd Packets,21.0,1286.2857142857142,1475.8065300999701,0.0,0.0,530.0,2021.0,4149.0
Fwd Packet Length Max,21.0,316.0,283.4783942384322,0.0,0.0,460.0,599.0,600.0
Fwd Packet Length Min,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Packet Length Mean,21.0,71.05952380952381,64.12412888111545,0.0,0.0,107.4,120.0,149.75
Fwd Packet Length Std,21.0,149.50917713333334,133.85301173768212,0.0,0.0,230.0,267.8809437,299.5
Bwd Packet Length Max,21.0,1148.3809523809523,1240.4292191088728,0.0,0.0,530.0,2021.0,4149.0
Bwd Packet Length Min,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Packet Length Mean,21.0,327.17698412857146,362.5852501488354,0.0,0.0,132.5,505.25,1037.25
Bwd Packet Length Std,21.0,580.0358633809523,621.3958396904703,0.0,0.0,265.0,1010.5,2074.5
Flow Bytes/s,21.0,318.7348374904762,341.29001441037735,0.0,0.0,210.2198804,523.0414742,947.4353908
Flow Packets/s,21.0,12794.102122569902,17397.224920226978,1.57793199,1.597616356,1.993318794,27397.26027,47619.04762
Flow IAT Mean,21.0,390600.829552381,349725.4606501276,42.0,73.0,557417.6667,715351.4286,724275.2857
Flow IAT Std,21.0,1052677.6862747716,936473.0946340055,0.0,0.0,1667490.203,1889547.295,1891319.408
Flow IAT Max,21.0,2858505.4285714286,2536572.782073118,42.0,73.0,5000145.0,5003805.0,5004686.0
Flow IAT Min,21.0,40.857142857142854,35.23107394656841,3.0,4.0,43.0,71.0,109.0
Fwd IAT Total,21.0,726247.6666666666,1791513.7366189056,0.0,0.0,5219.0,34275.0,5012479.0
Fwd IAT Mean,21.0,170161.63730147618,420183.9549712073,0.0,0.0,1739.666667,11425.0,1251865.0
Fwd IAT Std,21.0,349911.05845257145,863672.3337697374,0.0,0.0,2168.235227,18999.11822,2499206.662
Fwd IAT Max,21.0,724617.0,1788797.044730089,0.0,0.0,4249.0,33357.0,5000673.0
Fwd IAT Min,21.0,62.38095238095238,142.79652523450153,0.0,0.0,4.0,4.0,508.0
Bwd IAT Total,21.0,2155827.8095238097,2548760.1029585665,0.0,0.0,5994.0,5009082.0,5086374.0
Bwd IAT Mean,21.0,698784.7221904763,830742.6143746265,0.0,0.0,2997.0,1669639.0,1695458.0
Bwd IAT Std,21.0,1217277.2005087142,1441512.6632020012,0.0,0.0,2996.718539,2880144.775,2888741.337
