,count,mean,std,min,25%,50%,75%,max
Destination Port,652.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0
Flow Duration,652.0,6715357.09202454,9592863.035099948,4.0,5191744.75,5398909.5,5605595.0,70203058.0
Total Fwd Packets,652.0,7.903374233128834,30.779701666520694,1.0,3.0,3.0,3.0,212.0
Total Backward Packets,652.0,3.5736196319018405,15.985278666208982,0.0,1.0,1.0,1.0,114.0
Total Length of Fwd Packets,652.0,1197.6196319018404,7459.492105333728,0.0,0.0,0.0,0.0,48985.0
Total Length of Bwd Packets,652.0,4519.015337423313,28061.467672618226,0.0,0.0,0.0,0.0,183700.0
Fwd Packet Length Max,652.0,20.197852760736197,104.28219628659545,0.0,0.0,0.0,0.0,585.0
Fwd Packet Length Min,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Packet Length Mean,652.0,7.595967868558282,40.05593450433514,0.0,0.0,0.0,0.0,241.3054187
Fwd Packet Length Std,652.0,8.693406618558283,44.783656132355596,0.0,0.0,0.0,0.0,253.4582844
Bwd Packet Length Max,652.0,98.81748466257669,607.7400321417799,0.0,0.0,0.0,0.0,7926.0
Bwd Packet Length Min,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Packet Length Mean,652.0,53.165765351226995,286.7298610216167,0.0,0.0,0.0,0.0,1773.202532
Bwd Packet Length Std,652.0,26.026021009355834,180.7012764951152,0.0,0.0,0.0,0.0,2321.967872
Flow Bytes/s,652.0,103.3465753291411,571.772180879211,0.0,0.0,0.0,0.0,4134.873737
Flow Packets/s,652.0,1565.9592076025408,21189.488041914734,0.667181842,0.71737124475,0.7451769685,0.7741601972500001,500000.0
Flow IAT Mean,652.0,1681784.5619567037,446416.62567712157,4.0,1722296.4167499999,1789284.1665,1858637.8335,1998455.667
Flow IAT Std,652.0,2920052.6355207018,752994.4247396868,0.0,2982366.55075,3098446.937,3218422.493,3460645.61
Flow IAT Max,652.0,5162877.418711657,1095392.859967542,4.0,5166018.5,5367062.5,5574917.75,5994465.0
Flow IAT Min,652.0,125.72085889570552,56.03678839237512,3.0,102.0,125.0,140.0,848.0
Fwd IAT Total,652.0,6669144.780674847,9608402.839214442,0.0,5187398.5,5388638.5,5601256.0,70200000.0
Fwd IAT Mean,652.0,2517484.138030839,685529.0329019398,0.0,2583444.625,2683926.25,2787956.75,2997683.5
Fwd IAT Std,652.0,3561249.1749731326,963112.4099045685,0.0,3652362.972,3794527.6744999997,3941430.69925,4238089.041
Fwd IAT Max,652.0,5121526.9125766875,1183514.537173448,0.0,5166018.5,5367062.5,5574917.75,5994465.0
Fwd IAT Min,652.0,863.148773006135,449.63895153997015,0.0,723.0,873.0,891.0,7072.0
Bwd IAT Total,652.0,1690585.3680981596,10343134.808535393,0.0,0.0,0.0,0.0,70200000.0
Bwd IAT Mean,652.0,27311.152888496938,155506.61278425748,0.0,0.0,0.0,0.0,1968659.667
Bwd IAT Std,652.0,34074.61648098159,225625.2985236773,0.0,0.0,0.0,0.0,2660318.785
Bwd IAT Max,652.0,142855.53067484664,768191.6252177517,0.0,0.0,0.0,0.0,5005140.0
Bwd IAT Min,652.0,93.6978527607362,1561.1321866727767,0.0,0.0,0.0,0.0,33342.0
Fwd PSH Flags,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd PSH Flags,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Header Length,652.0,260.62576687116564,985.0081636558573,32.0,104.0,104.0,104.0,6792.0
Bwd Header Length,652.0,122.07361963190183,511.5896199809833,0.0,40.0,40.0,40.0,3656.0
Fwd Packets/s,652.0,1239.7510516082464,20000.94169368293,0.500386382,0.5380284335,0.5588827265,0.5806201480000001,500000.0
Bwd Packets/s,652.0,326.2081561170213,4064.220315024945,0.0,0.17853138899999998,0.18557563449999998,0.19277485700000002,76923.07692
Min Packet Length,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Packet Length,652.0,98.81748466257669,607.7400321417799,0.0,0.0,0.0,0.0,7926.0
Packet Length Mean,652.0,23.479735885276074,124.85391104644893,0.0,0.0,0.0,0.0,755.4707792
Packet Length Std,652.0,30.538063711503067,163.9914464224752,0.0,0.0,0.0,0.0,1518.584808
Packet Length Variance,652.0,27784.52060168712,173426.38542910834,0.0,0.0,0.0,0.0,2306099.818
FIN Flag Count,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN Flag Count,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RST Flag Count,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSH Flag Count,652.0,0.9647239263803681,0.18461838544373932,0.0,1.0,1.0,1.0,1.0
ACK Flag Count,652.0,0.0352760736196319,0.18461838544373932,0.0,0.0,0.0,0.0,1.0
URG Flag Count,652.0,0.009202453987730062,0.09556031926288445,0.0,0.0,0.0,0.0,1.0
CWE Flag Count,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
